Mendez, R 		0	1	13.2	1.61	.000	0.32	.397	.490	.886	6.59	5.27	9.22	1.25	17.12
Meyer, A 		0	0	2.2	2.63	-	0.67	.500	.909	1.409	10.13	10.13	13.50	1.00	24.37
Mills, B 		0	0	5.0	1.60	-	0.44	.391	.524	.915	1.80	1.80	12.60	1.00	15.60
Mitchell, B 		0	2	29.2	1.79	.000	1.57	.385	.432	.817	8.80	4.85	11.22	1.81	20.09
Montas, F 		0	2	15.0	1.53	.000	0.53	.348	.351	.699	12.00	5.40	8.40	2.22	19.07
Montero, R 		0	1	10.0	1.40	.000	1.38	.311	.350	.661	11.70	4.50	8.10	2.60	19.20
Moore, T 		0	0	0.2	0.00	-	1.00	.333	.000	.333	0.00	0.00	0.00	-	7.50
Morris, A 		0	0	0.2	9.00	-	1.00	.750	1.200	1.950	0.00	40.50	40.50	0.00	37.50
Murata, T 		0	1	3.1	1.50	.000	0.80	.313	.733	1.046	5.40	2.70	10.80	2.00	20.70
Murphy, D 		0	0	0.1	9.00	-	0.00	.667	1.250	1.917	0.00	27.00	54.00	0.00	57.00
Murray, C 		0	1	7.2	1.70	.000	1.50	.351	.543	.894	10.57	2.35	12.91	4.50	19.43
