Sipp, T 		3	4	1.99	54.1	41	13	12	5	15	62	.208	1.03
Soria, J 		3	1	2.53	67.2	55	20	19	8	19	64	.222	1.09
Street, H 		3	3	3.18	62.1	52	22	22	7	20	57	.226	1.16
Strickland, H 		3	3	2.45	51.1	34	14	14	4	10	50	.190	0.86
Tropeano, N 		3	2	3.82	37.2	40	18	16	2	10	38	.270	1.33
Vizcaino, A 		3	1	1.60	33.2	27	7	6	1	13	37	.218	1.19
Wilson, A 		3	3	2.19	70.0	61	19	17	5	11	38	.238	1.03
Wright, M 		3	5	6.04	44.2	52	30	30	9	18	26	.291	1.57
Abad, F 		2	2	4.15	47.2	45	23	22	11	19	45	.251	1.34
Adams, A 		2	0	3.78	33.1	37	15	14	2	13	23	.276	1.50
Affeldt, J 		2	2	5.86	35.1	43	24	23	6	14	21	.293	1.61
Albers, M 		2	0	1.21	37.1	31	6	5	3	9	28	.228	1.07
Allen, C 		2	5	2.99	69.1	56	26	23	2	25	99	.219	1.17
Araujo, E 		2	1	3.38	34.2	29	17	13	1	19	34	.225	1.38
Avilan, L 		2	5	4.05	53.1	48	24	24	6	15	49	.239	1.18
Badenhop, B 		2	4	3.93	66.1	71	30	29	4	20	36	.273	1.37
Barraclough, K 		2	1	2.59	24.1	12	8	7	1	18	30	.154	1.23
Beimel, J 		2	1	3.99	47.1	49	25	21	8	16	22	.283	1.37
Betancourt, R 		2	4	6.18	39.1	43	29	27	4	12	40	.267	1.40
Billingsley, C 		2	3	5.84	37.0	53	26	24	5	8	15	.346	1.65
Bradley, A 		2	3	5.80	35.2	36	23	23	3	22	23	.267	1.63
Buchanan, D 		2	9	6.99	74.2	109	60	58	12	29	44	.346	1.85
Burgos, E 		2	2	4.67	27.0	27	15	14	2	15	39	.257	1.56
Cain, M 		2	4	5.79	60.2	71	39	39	12	20	41	.293	1.50
Castro, S 		2	0	6.10	10.1	11	7	7	0	5	9	.282	1.55
Chacin, J 		2	1	3.38	26.2	24	11	10	4	10	21	.240	1.28
Cishek, S 		2	6	3.58	55.1	55	26	22	4	27	48	.259	1.48
Cosart, J 		2	5	4.52	69.2	63	35	35	10	33	47	.243	1.38
Cunniff, B 		2	2	4.63	35.0	27	20	18	4	22	37	.213	1.40
Delabar, S 		2	0	5.22	29.1	28	19	17	5	14	30	.250	1.43
Diaz, J 		2	1	4.18	60.1	58	29	28	9	18	70	.253	1.26
Diekman, J 		2	1	4.01	58.1	53	28	26	5	31	69	.235	1.44
Dunn, M 		2	5	4.50	54.0	46	27	27	6	29	65	.227	1.39
Ellington, B 		2	1	2.88	25.0	17	10	8	1	13	18	.193	1.20
Familia, J 		2	2	1.85	78.0	59	16	16	6	19	86	.207	1.00
Geltz, S 		2	6	3.74	67.1	45	31	28	8	26	61	.189	1.05
Givens, M 		2	0	1.80	30.0	20	7	6	1	6	38	.185	0.87
Gomes, B 		2	6	4.27	59.0	55	28	28	10	15	44	.248	1.19
Gomez, J 		2	3	3.01	74.2	82	28	25	4	17	50	.278	1.33
Gorzelanny, T 		2	2	5.95	39.1	45	28	26	4	23	36	.292	1.73
Grace, M 		2	1	4.24	17.0	26	11	8	0	8	14	.356	2.00
Guerra, D 		2	0	6.48	16.2	26	12	12	5	3	17	.371	1.74
Harris, M 		2	1	3.67	27.0	30	14	11	4	13	15	.278	1.59
Hembree, H 		2	0	3.55	25.1	25	10	10	5	9	15	.258	1.34
Hill, R 		2	1	1.55	29.0	14	5	5	2	5	36	.141	0.66
Hinojosa, D 		2	0	0.73	24.2	15	3	2	1	11	23	.167	1.05
Jansen, K 		2	1	2.41	52.1	33	14	14	6	8	80	.176	0.78
Janssen, C 		2	5	4.95	40.0	38	22	22	5	8	27	.248	1.15
Jennings, D 		2	3	3.99	56.1	55	28	25	3	24	46	.256	1.40
Johnson, J 		2	6	4.46	66.2	77	36	33	5	20	50	.296	1.46
Jones, N 		2	2	3.32	19.0	12	7	7	5	6	27	.188	0.95
Kelley, S 		2	2	2.45	51.1	41	18	14	4	15	63	.220	1.09
Kensing, L 		2	1	5.87	15.1	12	10	10	2	7	13	.214	1.24
Krol, I 		2	3	5.79	28.0	31	19	18	4	17	26	.287	1.71
