,Date,USDBRLV1W,USDBRLV1M,Spread,USDBRLV3M,USDBRLV6M,Spread
T,09/30/2014,19.785,19.845,-0.06,16.72,15.477,1.243
M,09/29/2014,20.605,18.037,2.568,16.325,15.247,1.078
F,09/26/2014,15.67,17.565,-1.895,15.46,14.833,0.627
T,09/25/2014,18.41,15.06,3.35,14.568,14.148,0.42
W,09/24/2014,15.08,14.773,0.307,14.688,14.245,0.443
T,09/23/2014,14.8975,14.632,0.2655,14.538,14.125,0.413
M,09/22/2014,14.5475,13.895,0.6525,14.233,13.865,0.368
F,09/19/2014,12.275,13.485,-1.21,13.813,13.705,0.108
T,09/18/2014,14.5475,13.145,1.4025,13.542,13.475,0.067
W,09/17/2014,13.885,13.188,0.697,13.532,13.548,-0.016
T,09/16/2014,14.2725,13.292,0.9805,13.538,13.57,-0.032
M,09/15/2014,13.9775,13.075,0.9025,13.43,13.345,0.085
F,09/12/2014,12.455,12.532,-0.077,12.813,12.935,-0.122
T,09/11/2014,12.145,11.948,0.197,12.417,12.517,-0.1
W,09/10/2014,11.5825,12.23,-0.6475,12.56,12.58,-0.02
T,09/09/2014,11.8025,12.013,-0.2105,12.285,12.39,-0.105
M,09/08/2014,11.33,11.157,0.173,11.847,11.905,-0.058
F,09/05/2014,8.5775,10.708,-2.1305,11.56,11.84,-0.28
T,09/04/2014,10.805,10.815,-0.01,11.55,11.767,-0.217
W,09/03/2014,10.0975,10.33,-0.2325,11.46,11.655,-0.195
T,09/02/2014,10.3875,9.985,0.4025,11.255,11.503,-0.248
M,09/01/2014,9.7125,10.003,-0.2905,11.18,11.325,-0.145
F,08/29/2014,8.535,9.6,-1.065,11.148,11.41,-0.262
T,08/28/2014,8.93,9.61,-0.68,11.27,11.6,-0.33
W,08/27/2014,9.435,9.525,-0.09,11.655,11.89,-0.235
T,08/26/2014,10.0225,10.195,-0.1725,12.065,12.097,-0.032
M,08/25/2014,10.5875,10.015,0.5725,12.065,12.16,-0.095
F,08/22/2014,9.1825,10.02,-0.8375,11.995,12.057,-0.062
T,08/21/2014,11.0825,10.433,0.6495,12.465,12.49,-0.025
W,08/20/2014,10.2025,10.702,-0.4995,12.705,12.715,-0.01
T,08/19/2014,10.895,11.235,-0.34,13.153,13.102,0.051
M,08/18/2014,11.2225,10.618,0.6045,13.415,13.417,-0.002
F,08/15/2014,12.055,11.352,0.703,13.358,13.313,0.045
T,08/14/2014,10.4125,11.132,-0.7195,13.125,13.163,-0.038
W,08/13/2014,11.0125,11.38,-0.3675,13.233,13.157,0.076
T,08/12/2014,10.6875,11.413,-0.7255,13.075,13.017,0.058
M,08/11/2014,11.52,11.02,0.5,13.218,13.052,0.166
F,08/08/2014,10.6675,12.045,-1.3775,13.477,13.382,0.095
T,08/07/2014,13.065,11.972,1.093,13.615,13.465,0.15
W,08/06/2014,11.67,11.485,0.185,13.37,13.307,0.063
T,08/05/2014,11.6375,11.23,0.4075,13.392,13.407,-0.015
M,08/04/2014,10.14,9.972,0.168,12.958,12.995,-0.037
F,08/01/2014,9.4775,10.765,-1.2875,13.073,13.188,-0.115
T,07/31/2014,11.7225,10.443,1.2795,12.805,13.075,-0.27
W,07/30/2014,9.665,9.315,0.35,12.225,12.55,-0.325
T,07/29/2014,8.7475,8.74,0.0075,11.92,12.407,-0.487
M,07/28/2014,8.56,8.698,-0.138,11.865,12.35,-0.485
F,07/25/2014,7.7075,8.66,-0.9525,11.517,12.155,-0.638
T,07/24/2014,8.14,8.54,-0.4,10.895,11.995,-1.1
W,07/23/2014,7.7575,8.667,-0.9095,10.933,11.997,-1.064
T,07/22/2014,7.97,8.903,-0.933,10.945,11.962,-1.017
M,07/21/2014,8.45,9.11,-0.66,10.868,11.88,-1.012
F,07/18/2014,8.55,9.468,-0.918,11.035,11.925,-0.89
T,07/17/2014,9.82,9.225,0.595,10.905,11.86,-0.955
W,07/16/2014,7.6325,8.58,-0.9475,10.525,11.558,-1.033
T,07/15/2014,7.8825,8.465,-0.5825,10.243,11.365,-1.122
M,07/14/2014,8.4025,8.39,0.0125,10.378,11.315,-0.937
F,07/11/2014,8.94,9.185,-0.245,10.645,11.4,-0.755
T,07/10/2014,8.8225,9.095,-0.2725,10.557,11.427,-0.87
W,07/09/2014,7.9425,9.025,-1.0825,10.448,11.427,-0.979
T,07/08/2014,8.03,8.98,-0.95,10.378,11.382,-1.004
M,07/07/2014,8.805,8.507,0.298,10.385,11.247,-0.862
F,07/04/2014,8.605,8.87,-0.265,10.173,11.138,-0.965
T,07/03/2014,8.595,8.885,-0.29,10.265,11.255,-0.99
W,07/02/2014,8.9225,9.07,-0.1475,10.108,11.4,-1.292
T,07/01/2014,8.81,9.025,-0.215,10.158,11.36,-1.202
M,06/30/2014,9.535,9.115,0.42,10.395,11.465,-1.07
F,06/27/2014,8.68,9.052,-0.372,10.238,11.323,-1.085
T,06/26/2014,9.08,8.948,0.132,10.015,11.177,-1.162
W,06/25/2014,7.8125,8.575,-0.7625,9.895,11.073,-1.178
T,06/24/2014,8.0525,8.722,-0.6695,9.91,10.975,-1.065
M,06/23/2014,7.8625,8.535,-0.6725,9.725,10.798,-1.073
F,06/20/2014,6.8725,8.378,-1.5055,9.64,10.78,-1.14
T,06/19/2014,7.2875,8.25,-0.9625,9.532,10.718,-1.186
W,06/18/2014,10.0675,9.8,0.2675,10.478,11.458,-0.98
T,06/17/2014,10.1525,9.63,0.5225,10.395,11.34,-0.945
M,06/16/2014,7.84,8.425,-0.585,9.62,10.887,-1.267
F,06/13/2014,6.57,8.075,-1.505,9.465,10.8,-1.335
T,06/12/2014,7.695,8.198,-0.503,9.403,10.757,-1.354
W,06/11/2014,7.84,8.222,-0.382,9.458,10.785,-1.327
T,06/10/2014,8.1125,8.295,-0.1825,9.462,10.833,-1.371
M,06/09/2014,8.89,8.62,0.27,9.75,11.025,-1.275
F,06/06/2014,7.3025,8.483,-1.1805,9.875,11.21,-1.335
T,06/05/2014,10.6075,9.665,0.9425,10.628,11.945,-1.317
W,06/04/2014,12.1425,10.333,1.8095,11.077,12.325,-1.248
T,06/03/2014,11.7475,10.307,1.4405,11.083,12.252,-1.169
M,06/02/2014,11.565,10.41,1.155,11.28,12.355,-1.075
F,05/30/2014,8.365,9.023,-0.658,10.405,11.83,-1.425
T,05/29/2014,9.7075,9.265,0.4425,10.622,11.905,-1.283
W,05/28/2014,9.7425,10.038,-0.2955,11.015,12.245,-1.23
T,05/27/2014,10.4875,10.358,0.1295,11.13,12.29,-1.16
M,05/26/2014,9.675,9.38,0.295,10.63,11.865,-1.235
F,05/23/2014,8.235,9.488,-1.253,10.555,11.83,-1.275
T,05/22/2014,9.49,9.533,-0.043,10.6,11.868,-1.268
W,05/21/2014,9.0975,9.837,-0.7395,10.778,11.993,-1.215
T,05/20/2014,9.7225,9.975,-0.2525,10.865,12.075,-1.21
M,05/19/2014,9.4475,9.273,0.1745,10.763,11.837,-1.074
F,05/16/2014,8.1475,9.71,-1.5625,10.745,11.93,-1.185
T,05/15/2014,10.16,9.795,0.365,10.64,11.95,-1.31
W,05/14/2014,8.8075,9.41,-0.6025,10.46,11.675,-1.215
T,05/13/2014,8.905,9.595,-0.69,10.548,11.715,-1.167
M,05/12/2014,9.54,9.28,0.26,10.74,11.778,-1.038
F,05/09/2014,8.6875,10.15,-1.4625,10.875,11.91,-1.035
T,05/08/2014,10.335,10.38,-0.045,10.967,11.993,-1.026
W,05/07/2014,10.03,10.5,-0.47,11.105,12,-0.895
T,05/06/2014,10.2675,10.7,-0.4325,11.22,12.125,-0.905
M,05/05/2014,10.945,10.612,0.333,11.325,12.15,-0.825
F,05/02/2014,8.6975,10.552,-1.8545,11.19,12.1,-0.91
T,05/01/2014,10.91,10.852,0.058,11.43,12.39,-0.96
W,04/30/2014,10.6475,11.095,-0.4475,11.57,12.547,-0.977
T,04/29/2014,11.5375,11.665,-0.1275,11.995,12.798,-0.803
M,04/28/2014,12.0425,11.852,0.1905,12.167,12.915,-0.748
F,04/25/2014,10.0775,11.605,-1.5275,12.017,12.835,-0.818
T,04/24/2014,10.675,11.747,-1.072,12.155,12.903,-0.748
W,04/23/2014,10.935,11.995,-1.06,12.29,13.028,-0.738
T,04/22/2014,10.8975,12.077,-1.1795,12.37,13.023,-0.653
M,04/21/2014,10.6425,11.858,-1.2155,12.307,12.997,-0.69
F,04/18/2014,9.18,11.908,-2.728,12.355,12.99,-0.635
T,04/17/2014,10.62,11.83,-1.21,12.29,12.978,-0.688
W,04/16/2014,10.0375,11.855,-1.8175,12.212,13.013,-0.801
T,04/15/2014,10.68,12.147,-1.467,12.265,12.975,-0.71
M,04/14/2014,11.295,11.847,-0.552,12.015,12.747,-0.732
F,04/11/2014,13.315,11.958,1.357,12.045,12.673,-0.628
T,04/10/2014,12.9525,11.618,1.3345,11.83,12.602,-0.772
W,04/09/2014,12.985,11.855,1.13,11.95,12.6,-0.65
T,04/08/2014,12.6525,11.73,0.9225,11.898,12.545,-0.647
M,04/07/2014,11.715,11.36,0.355,11.675,12.497,-0.822
F,04/04/2014,10.07,11.007,-0.937,11.403,12.29,-0.887
T,04/03/2014,12.6025,11.422,1.1805,11.882,12.525,-0.643
W,04/02/2014,12.94,11.655,1.285,11.92,12.555,-0.635
T,04/01/2014,12.3175,11.602,0.7155,12.01,12.692,-0.682
M,03/31/2014,12.4425,11.405,1.0375,11.958,12.632,-0.674
F,03/28/2014,11.92,11.118,0.802,11.833,12.512,-0.679
