,Date,USDBRLH1W,USDBRLH1M,Spread,USDBRLH3M,USDBRLH6M,Spread
T,04/30/2013,7.4132,9.586,-2.1729,7.304,8.065,-0.761
M,04/29/2013,7.4581,9.543,-2.0852,7.445,8.055,-0.61
F,04/26/2013,7.5559,9.426,-1.8701,7.943,8.035,-0.092
T,04/25/2013,8.0044,9.599,-1.5946,7.939,8.048,-0.109
W,04/24/2013,9.1423,9.359,-0.2162,7.853,7.998,-0.145
T,04/23/2013,9.4694,9.11,0.3596,7.831,7.95,-0.119
M,04/22/2013,9.5216,9.067,0.4542,7.825,7.938,-0.113
F,04/19/2013,12.4684,8.946,3.5221,7.781,7.913,-0.133
T,04/18/2013,12.2833,9.254,3.0295,7.757,7.897,-0.14
W,04/17/2013,10.5178,8.758,1.7601,7.567,7.798,-0.231
T,04/16/2013,9.5371,8.401,1.1361,7.48,7.734,-0.254
M,04/15/2013,10.1027,8.333,1.7694,7.469,7.728,-0.26
F,04/12/2013,5.7176,7.509,-1.7911,7.09,7.537,-0.447
T,04/11/2013,11.7194,7.458,4.2615,7.108,7.533,-0.425
W,04/10/2013,12.335,7.564,4.7709,7.16,7.54,-0.38
T,04/09/2013,12.2576,7.607,4.6502,7.135,7.527,-0.391
M,04/08/2013,11.5564,7.509,4.0476,7.193,7.493,-0.3
F,04/05/2013,11.3096,7.867,3.4426,7.203,7.48,-0.278
T,04/04/2013,4.4782,6.071,-1.5927,6.691,7.196,-0.505
W,04/03/2013,4.4523,5.794,-1.3414,6.607,7.204,-0.597
T,04/02/2013,4.1302,6.211,-2.0811,6.626,7.198,-0.571
M,04/01/2013,4.1895,6.212,-2.0224,6.626,7.204,-0.579
F,03/29/2013,4.2921,6.285,-1.9934,6.636,7.203,-0.567
T,03/28/2013,4.4814,6.286,-1.8048,6.647,7.203,-0.556
W,03/27/2013,6.0616,6.186,-0.1241,6.585,7.169,-0.584
T,03/26/2013,6.1534,6.268,-0.1144,7.185,7.165,0.02
M,03/25/2013,6.127,6.303,-0.1758,7.182,7.174,0.008
F,03/22/2013,6.084,6.286,-0.2018,7.174,7.173,0.002
T,03/21/2013,7.4906,6.642,0.8489,7.29,7.168,0.122
W,03/20/2013,4.982,6.132,-1.1499,7.141,7.083,0.058
T,03/19/2013,5.3666,6.262,-0.8953,7.352,7.076,0.276
M,03/18/2013,6.1316,6.313,-0.1809,7.425,7.075,0.35
F,03/15/2013,6.8702,6.525,0.345,7.569,7.081,0.488
T,03/14/2013,7.4715,6.235,1.237,7.466,7.13,0.337
W,03/13/2013,7.6511,6.392,1.2589,7.521,7.156,0.365
T,03/12/2013,7.2684,6.265,1.0035,7.516,7.149,0.367
M,03/11/2013,8.3198,6.09,2.2302,7.47,7.145,0.325
F,03/08/2013,7.6692,5.916,1.7527,7.421,7.133,0.289
T,03/07/2013,5.8228,6.113,-0.2901,7.274,7.063,0.211
W,03/06/2013,5.588,6.073,-0.4852,7.531,7.056,0.475
T,03/05/2013,6.2885,6.228,0.0605,7.632,7.076,0.556
M,03/04/2013,4.4745,5.783,-1.3083,7.531,7.006,0.524
F,03/01/2013,4.7254,5.801,-1.0754,7.694,7.033,0.66
T,02/28/2013,4.2942,5.709,-1.4152,8.531,7.027,1.504
W,02/27/2013,6.2757,5.794,0.4819,8.596,7.142,1.454
T,02/26/2013,5.8278,6.223,-0.3951,8.591,7.124,1.467
M,02/25/2013,6.1283,7.955,-1.8267,8.583,7.132,1.451
F,02/22/2013,6.1691,7.918,-1.7489,8.573,7.167,1.406
T,02/21/2013,7.0635,7.954,-0.891,8.853,7.169,1.684
W,02/20/2013,5.8388,7.87,-2.0313,8.78,7.116,1.663
T,02/19/2013,6.2053,7.865,-1.6599,8.936,7.114,1.821
M,02/18/2013,5.3808,7.747,-2.3661,8.904,7.089,1.814
F,02/15/2013,5.0974,7.749,-2.6518,8.891,7.082,1.809
T,02/14/2013,3.9231,7.594,-3.6707,8.882,7.051,1.832
W,02/13/2013,7.0364,7.654,-0.6173,8.86,7.041,1.819
T,02/12/2013,6.4685,7.576,-1.1076,8.863,7.018,1.844
M,02/11/2013,7.1344,7.638,-0.5034,8.891,7.027,1.864
F,02/08/2013,7.3433,7.739,-0.3955,8.903,7.032,1.871
T,02/07/2013,7.2885,7.86,-0.571,8.914,7.035,1.878
W,02/06/2013,3.7248,7.269,-3.5444,8.766,6.929,1.837
T,02/05/2013,4.1593,7.696,-3.5367,8.765,6.952,1.812
M,02/04/2013,6.2667,7.681,-1.4141,8.73,6.939,1.791
F,02/01/2013,12.0562,7.87,4.1861,8.725,6.934,1.791
T,01/31/2013,12.0134,7.861,4.1521,8.72,6.935,1.786
W,01/30/2013,12.1359,7.977,4.1592,8.72,7.099,1.622
T,01/29/2013,12.5911,7.915,4.6763,8.702,7.095,1.607
M,01/28/2013,11.4515,7.472,3.9797,8.569,7.054,1.514
F,01/25/2013,4.8817,5.507,-0.625,8.094,6.827,1.267
T,01/24/2013,5.1911,5.59,-0.3992,8.094,6.923,1.172
W,01/23/2013,5.1323,7.518,-2.3852,8.08,6.919,1.162
T,01/22/2013,4.4707,7.27,-2.7992,8.007,6.93,1.077
M,01/21/2013,4.445,7.211,-2.7662,7.993,6.977,1.016
F,01/18/2013,4.6801,7.56,-2.8796,7.99,6.992,0.998
T,01/17/2013,5.0311,7.564,-2.5334,7.975,7.068,0.907
W,01/16/2013,5.7129,8.171,-2.4584,7.966,7.1,0.866
T,01/15/2013,5.0412,8.248,-3.2072,7.938,7.112,0.826
M,01/14/2013,7.0384,8.609,-1.5705,7.923,7.103,0.82
F,01/11/2013,7.3256,8.565,-1.239,7.912,7.174,0.738
T,01/10/2013,7.9076,8.622,-0.7142,7.894,7.156,0.738
W,01/09/2013,7.2965,8.567,-1.27,7.852,7.13,0.722
T,01/08/2013,7.6924,8.543,-0.8507,7.862,7.13,0.732
M,01/07/2013,5.6255,8.167,-2.5419,7.733,7.055,0.677
F,01/04/2013,5.0964,8.068,-2.9719,7.693,7.034,0.659
T,01/03/2013,3.5456,8.593,-5.0469,7.706,7.001,0.705
W,01/02/2013,4.0021,8.873,-4.8714,7.713,7.034,0.679
T,01/01/2013,10.8353,8.844,1.9915,7.688,7.047,0.642
M,12/31/2012,10.8353,9.27,1.5653,7.688,7.113,0.575
F,12/28/2012,10.7269,11.335,-0.6086,7.677,7.389,0.288
T,12/27/2012,11.6831,11.465,0.2181,7.676,7.609,0.067
W,12/26/2012,11.6627,11.51,0.1524,7.658,8.946,-1.288
T,12/25/2012,8.3314,10.368,-2.0369,7.11,8.708,-1.598
M,12/24/2012,9.1522,10.372,-1.2196,7.116,8.715,-1.599
F,12/21/2012,10.6126,11.08,-0.4676,7.116,8.746,-1.63
T,12/20/2012,9.4847,10.872,-1.3874,6.989,8.702,-1.713
W,12/19/2012,9.8587,11.264,-1.4056,6.97,8.705,-1.735
T,12/18/2012,7.7733,10.829,-3.0557,6.732,8.935,-2.203
M,12/17/2012,6.7967,10.67,-3.8734,6.668,8.904,-2.237
F,12/14/2012,4.293,10.462,-6.1692,6.723,9.11,-2.387
T,12/13/2012,4.3583,10.454,-6.0955,6.774,9.119,-2.345
W,12/12/2012,7.7726,10.435,-2.6628,6.736,9.099,-2.363
T,12/11/2012,8.702,10.445,-1.7427,6.747,9.158,-2.411
M,12/10/2012,9.0074,10.474,-1.467,6.781,9.165,-2.384
F,12/07/2012,10.6016,10.51,0.0911,6.797,9.165,-2.368
T,12/06/2012,17.0949,10.557,6.5375,6.789,9.618,-2.829
W,12/05/2012,15.9547,9.957,5.998,6.538,9.543,-3.006
T,12/04/2012,15.5487,9.716,5.8322,6.414,9.5,-3.087
M,12/03/2012,15.5053,9.671,5.8344,6.44,9.52,-3.08
F,11/30/2012,14.4327,9.263,5.1695,6.257,9.78,-3.523
T,11/29/2012,9.5409,6.533,3.0077,5.334,9.495,-4.161
W,11/28/2012,8.9931,6.266,2.7275,5.249,9.536,-4.287
T,11/27/2012,10.6061,6.127,4.4789,5.254,9.531,-4.277
M,11/26/2012,10.5085,6.169,4.3392,5.336,9.66,-4.324
F,11/23/2012,10.494,6.164,4.33,5.343,9.693,-4.351
T,11/22/2012,7.5315,4.774,2.758,4.873,9.572,-4.699
W,11/21/2012,7.2447,4.668,2.5765,4.865,10.001,-5.136
T,11/20/2012,4.6524,3.529,1.123,4.542,9.927,-5.385
M,11/19/2012,5.1074,3.499,1.6087,4.526,10.691,-6.165
F,11/16/2012,5.3686,3.5,1.8688,4.535,11.184,-6.649
T,11/15/2012,4.762,3.146,1.6158,4.459,11.248,-6.789
W,11/14/2012,5.3042,3.268,2.0366,4.461,11.291,-6.829
T,11/13/2012,4.4065,2.931,1.4752,4.41,11.293,-6.883
M,11/12/2012,3.7498,2.723,1.0264,4.367,11.283,-6.916
F,11/09/2012,3.6249,2.724,0.9005,4.371,11.285,-6.913
T,11/08/2012,2.9673,2.587,0.3799,4.343,11.494,-7.151
W,11/07/2012,1.8379,2.503,-0.6652,4.374,11.515,-7.141
T,11/06/2012,1.7513,2.556,-0.8051,4.41,11.561,-7.152
M,11/05/2012,1.7082,2.5,-0.7914,4.408,11.738,-7.33
F,11/02/2012,2.7318,3.177,-0.4453,4.404,11.832,-7.429
T,11/01/2012,2.7376,3.253,-0.515,4.896,11.837,-6.941
W,10/31/2012,2.7327,3.348,-0.6155,4.918,11.899,-6.981
T,10/30/2012,2.742,3.349,-0.6065,5.042,11.963,-6.921
M,10/29/2012,2.6702,3.316,-0.646,5.242,12.009,-6.767
F,10/26/2012,1.4094,3.149,-1.7397,5.44,12,-6.56
T,10/25/2012,1.4094,3.157,-1.7478,5.45,12.138,-6.688
W,10/24/2012,1.6101,3.303,-1.6927,5.586,12.139,-6.553
T,10/23/2012,2.4089,3.339,-0.9299,5.725,12.143,-6.419
M,10/22/2012,2.3271,3.317,-0.99,5.768,12.143,-6.375
F,10/19/2012,2.4133,3.276,-0.8627,5.962,12.142,-6.18
T,10/18/2012,2.9245,3.276,-0.3511,6.053,12.152,-6.099
W,10/17/2012,3.0365,3.256,-0.2198,6.133,12.163,-6.03
T,10/16/2012,3.0991,3.252,-0.1533,6.113,12.158,-6.045
M,10/15/2012,3.2829,4.438,-1.1549,6.297,12.231,-5.934
F,10/12/2012,3.0251,4.649,-1.6238,6.288,12.275,-5.987
T,10/11/2012,4.9356,4.68,0.2555,6.272,12.293,-6.021
W,10/10/2012,5.012,4.842,0.1704,6.274,12.32,-6.046
T,10/09/2012,4.914,4.9,0.0137,6.254,12.333,-6.08
M,10/08/2012,4.7657,4.961,-0.1952,6.245,12.332,-6.086
F,10/05/2012,4.7817,4.961,-0.1792,6.266,12.393,-6.127
T,10/04/2012,2.592,4.727,-2.1348,6.234,12.374,-6.14
W,10/03/2012,2.2197,4.68,-2.4601,6.296,12.371,-6.075
T,10/02/2012,2.4899,4.861,-2.3709,6.427,12.37,-5.944
M,10/01/2012,2.6917,4.915,-2.2229,7.03,12.371,-5.34
F,09/28/2012,2.6747,5.841,-3.1663,7.492,12.381,-4.889
T,09/27/2012,2.3265,5.86,-3.5332,10.01,12.386,-2.376
W,09/26/2012,2.2773,6.034,-3.7571,10.012,12.393,-2.38
T,09/25/2012,1.1448,6.257,-5.1124,10.009,12.394,-2.385
M,09/24/2012,1.8467,6.26,-4.4133,10.058,12.398,-2.341
F,09/21/2012,6.4743,6.288,0.186,10.072,12.404,-2.332
T,09/20/2012,7.1777,6.347,0.8309,10.089,12.415,-2.326
W,09/19/2012,7.4487,6.354,1.0945,10.636,12.435,-1.799
T,09/18/2012,7.946,6.357,1.5887,10.637,12.435,-1.799
M,09/17/2012,8.1259,6.318,1.8079,11.066,12.433,-1.367
F,09/14/2012,5.606,5.577,0.0286,10.949,12.381,-1.432
T,09/13/2012,4.663,5.372,-0.7092,10.919,12.472,-1.553
W,09/12/2012,5.1191,5.354,-0.2353,11.023,12.466,-1.443
T,09/11/2012,4.3183,5.217,-0.8989,11.008,12.463,-1.455
M,09/10/2012,4.7466,5.151,-0.4047,10.992,12.488,-1.496
F,09/07/2012,4.5599,5.084,-0.5242,11.726,12.487,-0.761
T,09/06/2012,7.9244,5.291,2.6336,11.775,12.495,-0.72
W,09/05/2012,7.5559,5.199,2.3566,11.748,12.701,-0.953
T,09/04/2012,8.1172,5.219,2.8977,11.796,12.706,-0.91
M,09/03/2012,8.4502,5.018,3.4318,12.282,12.712,-0.431
F,08/31/2012,8.39,6.23,2.1603,12.397,12.806,-0.409
T,08/30/2012,5.4718,5.43,0.0414,12.374,12.758,-0.384
W,08/29/2012,5.512,5.715,-0.2031,12.384,12.827,-0.443
T,08/28/2012,4.6711,6.096,-1.425,12.567,12.818,-0.252
M,08/27/2012,2.5715,6.445,-3.8735,12.571,12.944,-0.373
F,08/24/2012,2.5443,6.45,-3.9054,12.578,12.989,-0.411
T,08/23/2012,2.5468,6.772,-4.2251,13.232,12.987,0.245
W,08/22/2012,1.8853,7.069,-5.184,13.228,12.983,0.245
T,08/21/2012,2.5134,7.183,-4.6691,14.366,12.986,1.38
M,08/20/2012,2.7772,7.67,-4.893,15.092,13.004,2.088
F,08/17/2012,3.1346,7.873,-4.7388,15.209,13.002,2.208
T,08/16/2012,3.0557,8.049,-4.993,15.268,13,2.268
W,08/15/2012,4.254,8.047,-3.7929,15.294,13,2.294
T,08/14/2012,4.3969,8.433,-4.0365,15.287,13.037,2.251
M,08/13/2012,4.33,8.411,-4.0813,15.292,13.051,2.242
F,08/10/2012,4.1053,8.369,-4.2634,15.601,13.06,2.541
T,08/09/2012,8.6735,8.376,0.2971,15.643,13.077,2.566
W,08/08/2012,8.3114,8.252,0.0594,15.69,13.069,2.62
T,08/07/2012,8.9854,8.19,0.7955,15.94,13.068,2.873
M,08/06/2012,10.3706,8.224,2.1466,16.08,13.067,3.013
F,08/03/2012,11.8361,8.388,3.4485,16.083,13.065,3.018
T,08/02/2012,9.0613,7.688,1.3736,16.032,12.984,3.048
W,08/01/2012,9.9346,8.012,1.9225,16.12,12.984,3.136
T,07/31/2012,10.1534,9.247,0.9061,16.152,13.008,3.144
M,07/30/2012,9.0782,9.983,-0.9053,16.087,13.005,3.082
F,07/27/2012,8.9021,15.115,-6.213,16.212,12.955,3.256
T,07/26/2012,9.5981,15.109,-5.5113,16.209,12.986,3.223
W,07/25/2012,9.2716,14.979,-5.7079,16.169,13.002,3.168
T,07/24/2012,8.1008,14.928,-6.8267,16.122,12.996,3.126
M,07/23/2012,9.3999,14.901,-5.5007,16.106,12.986,3.12
F,07/20/2012,7.6006,14.69,-7.0898,16.048,12.946,3.101
T,07/19/2012,6.6034,15.731,-9.128,16.031,12.945,3.086
W,07/18/2012,5.6518,15.632,-9.9801,16,12.926,3.074
T,07/17/2012,5.669,16.551,-10.882,16.11,12.926,3.184
M,07/16/2012,1.5266,16.371,-14.8444,16.109,12.984,3.124
F,07/13/2012,2.3791,16.38,-14.0005,16.142,12.984,3.158
T,07/12/2012,4.2644,16.621,-12.3565,16.186,12.989,3.197
W,07/11/2012,5.3633,16.634,-11.2704,16.211,13.007,3.204
T,07/10/2012,7.2587,16.641,-9.3821,16.211,13.119,3.093
M,07/09/2012,12.5768,18.151,-5.5745,16.304,13.121,3.183
F,07/06/2012,15.5596,18.227,-2.6678,16.309,13.5,2.809
T,07/05/2012,28.358,18.144,10.2138,16.279,13.506,2.773
W,07/04/2012,28.1554,18.163,9.9926,16.256,13.515,2.742
T,07/03/2012,27.7759,19.044,8.7319,16.199,13.49,2.709
M,07/02/2012,26.0735,18.625,7.449,15.963,13.338,2.625
F,06/29/2012,24.4197,18.285,6.1346,15.764,13.545,2.219
T,06/28/2012,5.1071,14.102,-8.9944,14.304,12.709,1.595
W,06/27/2012,13.1408,14.662,-1.5208,14.315,12.708,1.606
T,06/26/2012,13.0323,14.773,-1.7407,14.317,12.72,1.597
M,06/25/2012,16.7411,14.689,2.0519,14.29,12.739,1.551
F,06/22/2012,16.7772,16.355,0.4226,14.299,12.734,1.565
T,06/21/2012,16.6792,16.333,0.3457,14.321,12.727,1.594
W,06/20/2012,12.8246,18.139,-5.3145,13.921,12.503,1.417
T,06/19/2012,12.9498,19.88,-6.9305,13.924,12.503,1.421
M,06/18/2012,6.683,19.414,-12.7307,13.592,12.329,1.263
F,06/15/2012,16.139,19.534,-3.395,13.769,12.432,1.337
T,06/14/2012,16.5601,19.592,-3.0314,13.766,12.487,1.279
W,06/13/2012,15.5116,19.389,-3.8774,13.688,12.451,1.237
T,06/12/2012,15.8818,19.39,-3.5086,13.739,12.495,1.244
M,06/11/2012,20.3191,20.149,0.1701,13.745,12.582,1.163
F,06/08/2012,15.2075,18.912,-3.7045,13.128,12.305,0.823
T,06/07/2012,15.8413,18.994,-3.1522,13.496,12.541,0.955
W,06/06/2012,16.0208,19.656,-3.6347,13.506,12.551,0.955
T,06/05/2012,17.6081,19.921,-2.3133,13.503,12.566,0.937
M,06/04/2012,12.8406,18.946,-6.1053,13.221,12.325,0.896
F,06/01/2012,11.3669,18.939,-7.5718,13.138,12.279,0.858
T,05/31/2012,17.7613,18.969,-1.2073,13.176,12.236,0.94
W,05/30/2012,17.6459,19.119,-1.4728,13.169,12.246,0.923
T,05/29/2012,25.5297,18.691,6.8385,13.257,12.156,1.102
M,05/28/2012,30.219,19.128,11.0914,13.301,12.461,0.839
F,05/25/2012,30.9349,19.107,11.8283,13.291,12.549,0.742
T,05/24/2012,27.581,17.696,9.8847,12.636,12.348,0.289
W,05/23/2012,27.7451,17.69,10.055,12.639,12.357,0.281
T,05/22/2012,19.0122,14.686,4.3263,11.367,11.935,-0.567
M,05/21/2012,9.322,12.287,-2.9648,10.383,12.144,-1.761
F,05/18/2012,12.9166,11.894,1.0228,10.206,12.083,-1.876
T,05/17/2012,12.6501,11.647,1.0029,10.115,12.223,-2.108
W,05/16/2012,13.3167,12.003,1.3137,10.18,12.206,-2.026
T,05/15/2012,16.862,12.285,4.5771,10.219,12.225,-2.006
M,05/14/2012,18.4361,12.386,6.0503,10.242,12.226,-1.984
F,05/11/2012,14.6739,11.294,3.3795,9.801,12.022,-2.221
T,05/10/2012,15.3464,11.232,4.1142,9.746,12.116,-2.371
W,05/09/2012,15.7154,10.936,4.7795,9.648,12.23,-2.582
T,05/08/2012,13.0096,10.168,2.8411,9.211,12.088,-2.876
M,05/07/2012,10.5141,9.518,0.9958,8.962,12.58,-3.618
F,05/04/2012,13.9257,9.487,4.4387,8.972,12.627,-3.655
T,05/03/2012,12.492,9.028,3.4642,8.818,12.577,-3.758
W,05/02/2012,10.9332,8.493,2.4406,8.787,12.584,-3.797
T,05/01/2012,9.5138,8.167,1.3465,8.768,12.56,-3.792
M,04/30/2012,9.5019,8.233,1.2688,8.769,12.559,-3.79
F,04/27/2012,3.2579,6.949,-3.6911,8.483,12.639,-4.157
T,04/26/2012,4.2243,7.026,-2.8017,8.618,12.806,-4.189
W,04/25/2012,3.8995,7.044,-3.145,8.68,12.879,-4.199
T,04/24/2012,7.7815,7.096,0.6855,8.677,13.498,-4.821
M,04/23/2012,9.4594,7.209,2.2502,8.695,13.508,-4.814
F,04/20/2012,9.8572,7.313,2.5438,8.727,13.528,-4.802
T,04/19/2012,10.4146,7.196,3.2182,8.696,13.618,-4.922
W,04/18/2012,10.9609,7.218,3.7433,8.696,13.629,-4.933
T,04/17/2012,8.6331,6.511,2.1225,8.794,13.582,-4.787
M,04/16/2012,9.2055,7.185,2.0208,8.667,13.637,-4.97
F,04/13/2012,8.7227,6.954,1.7687,8.618,13.628,-5.01
T,04/12/2012,7.5874,6.728,0.8592,8.596,13.779,-5.183
W,04/11/2012,6.9236,6.896,0.0272,8.876,13.842,-4.966
T,04/10/2012,6.8985,6.945,-0.0464,8.881,13.927,-5.046
M,04/09/2012,3.8906,6.332,-2.4414,9.805,13.88,-4.074
F,04/06/2012,3.8372,8.526,-4.6888,9.85,13.875,-4.025
T,04/05/2012,4.3272,8.572,-4.2449,9.919,13.874,-3.955
W,04/04/2012,4.5907,8.734,-4.1437,9.938,13.891,-3.953
T,04/03/2012,5.0038,9.567,-4.5628,9.939,14.475,-4.536
M,04/02/2012,4.6725,9.611,-4.9381,10.771,14.587,-3.816
F,03/30/2012,4.8869,10.126,-5.2388,10.782,14.809,-4.027
T,03/29/2012,5.6959,10.118,-4.4221,10.769,14.832,-4.063
W,03/28/2012,5.2939,11.168,-5.8742,10.79,15.113,-4.323
T,03/27/2012,5.0573,11.46,-6.4024,10.87,15.108,-4.238
M,03/26/2012,5.2057,11.424,-6.2184,10.858,15.354,-4.496
F,03/23/2012,9.3808,11.351,-1.9704,10.833,15.409,-4.577
T,03/22/2012,8.6961,11.243,-2.5474,10.793,15.412,-4.618
W,03/21/2012,9.0047,11.366,-2.3614,10.793,16.363,-5.57
T,03/20/2012,10.055,11.349,-1.2942,10.832,16.428,-5.596
M,03/19/2012,9.9537,11.293,-1.3398,11.063,18.158,-7.095
F,03/16/2012,6.0273,10.559,-4.5316,10.953,18.11,-7.157
T,03/15/2012,13.3527,10.863,2.4893,10.988,18.844,-7.856
W,03/14/2012,13.2687,10.92,2.3492,11.079,18.96,-7.881
T,03/13/2012,12.9847,10.788,2.1965,11.202,18.948,-7.746
M,03/12/2012,15.146,10.889,4.2571,11.338,18.949,-7.611
F,03/09/2012,15.319,10.874,4.4451,11.872,18.954,-7.082
T,03/08/2012,11.8337,9.226,2.6078,11.423,18.968,-7.545
W,03/07/2012,11.8354,9.187,2.6487,11.495,18.995,-7.5
T,03/06/2012,14.9837,9.004,5.9792,11.471,18.98,-7.509
M,03/05/2012,13.8643,8.188,5.676,11.289,18.92,-7.63
F,03/02/2012,13.4925,8.071,5.4211,11.278,18.936,-7.657
T,03/01/2012,11.594,7.839,3.7547,11.156,18.89,-7.734
W,02/29/2012,11.5507,8.166,3.3844,11.184,18.973,-7.79
T,02/28/2012,6.838,6.586,0.2523,11.563,19.057,-7.494
M,02/27/2012,3.871,6.404,-2.533,11.658,19.032,-7.373
F,02/24/2012,3.8257,6.938,-3.1119,11.955,19.034,-7.08
T,02/23/2012,3.8851,7.219,-3.3343,11.98,19.067,-7.087
W,02/22/2012,6.3511,7.178,-0.8271,12.425,19.07,-6.645
T,02/21/2012,6.2683,7.052,-0.7833,13.597,19.062,-5.464
M,02/20/2012,6.9961,7.278,-0.2817,13.623,19.122,-5.499
F,02/17/2012,7.8343,7.285,0.5496,13.937,19.144,-5.208
T,02/16/2012,8.0429,7.281,0.7621,13.936,19.154,-5.218
W,02/15/2012,6.3343,7.919,-1.5843,13.894,19.126,-5.233
T,02/14/2012,5.4521,7.757,-2.3045,13.874,19.145,-5.271
M,02/13/2012,4.5083,7.656,-3.1478,13.847,19.137,-5.29
F,02/10/2012,3.6085,7.677,-4.0689,14.024,19.125,-5.101
T,02/09/2012,3.4175,8.718,-5.3008,14.284,19.227,-4.944
W,02/08/2012,6.3763,8.696,-2.32,14.324,19.265,-4.942
T,02/07/2012,8.1058,11.762,-3.6561,15.29,19.265,-3.975
M,02/06/2012,8.1322,11.928,-3.7963,15.374,19.533,-4.159
F,02/03/2012,9.103,12.058,-2.9547,15.374,19.811,-4.437
T,02/02/2012,10.5152,12.105,-1.5897,15.478,20.304,-4.827
W,02/01/2012,9.7578,11.787,-2.0294,15.433,20.302,-4.869
T,01/31/2012,8.3513,13.704,-5.3531,15.369,20.434,-5.065
M,01/30/2012,8.5699,13.769,-5.1994,15.709,20.435,-4.726
F,01/27/2012,8.0742,13.584,-5.5099,15.923,20.416,-4.493
T,01/26/2012,5.9475,13.412,-7.4647,15.973,20.443,-4.47
W,01/25/2012,4.339,13.496,-9.1574,16.92,20.479,-3.559
T,01/24/2012,9.3426,13.499,-4.156,16.938,20.501,-3.563
M,01/23/2012,9.1181,13.46,-4.3422,16.974,20.547,-3.573
F,01/20/2012,8.5251,13.355,-4.8297,17.102,20.534,-3.433
T,01/19/2012,9.2765,13.353,-4.0762,17.119,20.563,-3.444
W,01/18/2012,12.6999,13.461,-0.7616,17.147,20.562,-3.415
T,01/17/2012,9.7153,13.483,-3.7681,17.145,20.53,-3.385
M,01/16/2012,18.9227,13.801,5.122,17.163,20.531,-3.368
F,01/13/2012,19.2808,13.863,5.4177,17.434,20.554,-3.12
T,01/12/2012,19.3929,14.017,5.3763,17.529,20.541,-3.012
W,01/11/2012,17.546,13.862,3.6843,17.499,20.474,-2.975
T,01/10/2012,17.5091,14.213,3.2964,17.507,20.474,-2.968
M,01/09/2012,16.5368,13.371,3.1654,16.921,20.225,-3.304
F,01/06/2012,16.2729,13.277,2.9955,16.883,20.21,-3.327
T,01/05/2012,15.7247,13.338,2.3868,16.875,20.239,-3.364
W,01/04/2012,15.8328,13.337,2.4958,17.807,20.249,-2.442
T,01/03/2012,16.6347,13.424,3.2106,18.001,20.302,-2.301
M,01/02/2012,6.8,11.269,-4.469,17.878,20.085,-2.207
F,12/30/2011,6.1732,11.311,-5.1383,17.908,20.107,-2.199
T,12/29/2011,6.2651,11.426,-5.1609,18.376,20.112,-1.736
W,12/28/2011,5.3558,13.349,-7.9936,18.354,20.108,-1.754
T,12/27/2011,3.8569,13.649,-9.7924,18.708,20.086,-1.378
M,12/26/2011,9.2501,14.422,-5.1715,18.812,20.102,-1.29
F,12/23/2011,11.0505,14.487,-3.4362,18.842,20.166,-1.324
T,12/22/2011,11.4355,15.61,-4.1748,20.368,20.187,0.182
W,12/21/2011,12.7423,18.464,-5.7215,20.475,20.221,0.254
T,12/20/2011,14.3951,18.44,-4.0451,23.183,20.209,2.974
M,12/19/2011,13.3872,18.706,-5.3191,23.102,20.147,2.956
F,12/16/2011,17.5806,18.474,-0.8932,24.183,20.135,4.047
T,12/15/2011,17.4638,18.487,-1.0234,24.354,20.126,4.229
W,12/14/2011,17.2661,18.306,-1.0403,24.32,20.1,4.221
T,12/13/2011,15.7456,17.929,-2.1834,24.236,20.046,4.19
M,12/12/2011,14.6641,18.15,-3.4859,24.184,20.06,4.124
F,12/09/2011,7.476,17.705,-10.2291,24.167,19.899,4.268
T,12/08/2011,7.8603,17.785,-9.9246,24.204,19.931,4.273
W,12/07/2011,6.9574,19.976,-13.0182,24.164,19.945,4.219
T,12/06/2011,15.8765,20.133,-4.256,24.16,19.94,4.221
M,12/05/2011,17.3874,20.103,-2.7155,24.186,19.93,4.256
F,12/02/2011,19.6574,20.321,-0.6634,24.18,19.924,4.256
T,12/01/2011,19.5487,20.333,-0.7839,24.295,19.913,4.382
W,11/30/2011,22.68,20.265,2.4151,24.561,19.902,4.659
T,11/29/2011,26.6842,19.832,6.8524,24.24,19.771,4.469
M,11/28/2011,25.7015,20.128,5.5739,24.149,19.752,4.397
F,11/25/2011,26.1098,19.886,6.2242,24.053,19.68,4.373
T,11/24/2011,25.9628,22.227,3.7356,24.05,19.739,4.31
W,11/23/2011,23.2976,21.486,1.8113,23.825,19.607,4.219
T,11/22/2011,11.7496,19.215,-7.4656,23.254,19.247,4.008
M,11/21/2011,11.3639,19.591,-8.2271,23.276,19.246,4.03
F,11/18/2011,9.6495,18.945,-9.2959,23.107,19.15,3.957
T,11/17/2011,13.866,19.025,-5.1594,23.107,19.163,3.944
W,11/16/2011,14.0707,19.367,-5.2965,23.135,19.166,3.969
T,11/15/2011,23.8014,19.394,4.4071,23.132,19.163,3.968
M,11/14/2011,24.4984,20.148,4.3501,23.132,19.164,3.968
F,11/11/2011,22.9953,20.031,2.9641,23.18,19.158,4.022
T,11/10/2011,21.7635,19.807,1.957,23.083,19.058,4.025
W,11/09/2011,21.6715,19.728,1.9434,23.053,19.048,4.005
T,11/08/2011,9.8642,17.349,-7.4851,22.879,18.68,4.199
M,11/07/2011,14.1983,17.117,-2.9192,23.302,18.668,4.634
F,11/04/2011,17.5067,17.183,0.3238,24.125,18.664,5.461
