idnumber	_id	cal_count	cook_time	made_it_count	prep_time	recipe_title	review_count	star_rating	total_time	year
21398	5740eaf2f0f8937c63755e41	398		3000	30	Banana Pudding IV	2174	4.77880525588989	210	2002
26254	5740eaf9f0f8937c63755e50	489	60	1000	30	Baked Ziti IV	831	4.71842098236084	90	2002
26692	5740eb06f0f8937c63755e5b	312	10	3000	15	Annie's Fruit Salsa and Cinnamon Chips	3206	4.77678155899048	45	2002
6820	5740eb15f0f8937c63755e68	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2002
7146	5740eb27f0f8937c63755e71	139		168		Cheddar Bay Biscuits	1225	4.58506202697754		2002
10497	5740eb3ff0f8937c63755e7f	144	12	331	15	Beth's Spicy Oatmeal Raisin Cookies	3597	4.74303913116455	50	2003
12409	5740eb4ef0f8937c63755e8b	316	45	6000	30	Apple Crisp II	4388	4.69281482696533	80	2003
12682	5740eb5ef0f8937c63755e93	512	60	9000	30	Apple Pie by Grandma Ople	6944	4.770592212677	90	2003
12720	5740eb6ff0f8937c63755e9c	318	16	4000	15	Grilled Salmon I	3023	4.75114679336548	151	2003
13651	5740eb83f0f8937c63755eab	235	25	3000	15	Awesome Sausage, Apple and Cranberry Stuffing	2087	4.76345205307007	100	2003
14276	5740eb94f0f8937c63755eb7	491		2000	10	Strawberry Spinach Salad I	1783	4.77161931991577	70	2003
14469	5740eba3f0f8937c63755ec4	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2003
14646	5740ebb3f0f8937c63755ecf	276	600	1000	20	Barbecued Beef	990	4.66030836105347	620	2003
14939	5740ebc2f0f8937c63755ed3	356	20	2000	10	Brown Sugar Smokies	1675	4.75843191146851	30	2003
15633	5740ebd2f0f8937c63755ee0	381	65	2000	20	Gourmet Sweet Potato Classic	1632	4.78949737548828	85	2003
16098	5740ebe4f0f8937c63755ee9	559	15	1000	15	Alyson's Broccoli Salad	1100	4.78691720962524	30	2003
16409	5740ebf3f0f8937c63755ef2	235		1000	10	Spinach and Strawberry Salad	1211	4.75304126739502	10	2003
17652	5740ecb0f0f8937c63755eff	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2003
19009	5740ecc9f0f8937c63755f05	401		1000	15	Chocolate Eclair Dessert	1123	4.70803451538086	135	2003
20156	5740ecd8f0f8937c63755f15	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2003
26692	5740ece8f0f8937c63755f20	312	10	3000	15	Annie's Fruit Salsa and Cinnamon Chips	3206	4.77678155899048	45	2003
50644	5740ecf9f0f8937c63755f2a	224	10	8000	5	Broiled Tilapia Parmesan	6868	4.70721817016602	15	2003
6820	5740ed07f0f8937c63755f37	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2003
8350	5740ed16f0f8937c63755f41	533	60	2000	30	Chantal's New York Cheesecake	4813	4.7169623374939	450	2003
8446	5740ed24f0f8937c63755f49	528	60	61	30	Chocolate Cavity Maker Cake	1244	4.74788284301758	120	2003
12142	5740ed36f0f8937c63755f53	389	110	3000	30	Sweet Potato Pie I	1852	4.78704500198364	140	2004
12377	5740ed46f0f8937c63755f5b	512	60	3000	30	Grandma Ople's Apple Pie	1926	4.79672813415527	90	2004
13436	5740ed55f0f8937c63755f6a	324	75	2000	20	Italian Sausage Soup with Tortellini	1471	4.81270885467529	95	2004
13464	5740ed65f0f8937c63755f72	545	300	2000	10	Homestyle Turkey, the Michigander Way	1489	4.81849479675293	310	2004
14469	5740ed71f0f8937c63755f7f	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2004
14861	5740ed87f0f8937c63755f89	155		1000	10	Spicy Bean Salsa	1093	4.73523283004761	490	2004
15633	5740ed97f0f8937c63755f96	381	65	2000	20	Gourmet Sweet Potato Classic	1632	4.78949737548828	85	2004
16409	5740edabf0f8937c63755f9f	235		1000	10	Spinach and Strawberry Salad	1211	4.75304126739502	10	2004
17652	5740edb9f0f8937c63755fac	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2004
19673	5740edc9f0f8937c63755fb8	66		2000	30	Seven Layer Taco Dip	1733	4.73436880111694	30	2004
20156	5740edddf0f8937c63755fc8	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2004
21398	5740ededf0f8937c63755fd1	398		3000	30	Banana Pudding IV	2174	4.77880525588989	210	2004
22302	5740edfbf0f8937c63755fde	684	20	2000	10	Cha Cha's White Chicken Chili	1645	4.66870021820068	30	2004
24087	5740ee0bf0f8937c63755fe9	364	15	3000	15	Restaurant-Style Buffalo Chicken Wings	2322	4.7813892364502	120	2004
24952	5740ee20f0f8937c63755ff1	253	60	2000	30	Caramel Popcorn	1705	4.85201168060303	90	2004
25333	5740ee2ef0f8937c63755ffe	410	30	725	15	Vegan Black Bean Soup	547	4.63245487213135	45	2004
56927	5740ee3ff0f8937c6375600a	195	25	12000	20	Delicious Ham and Potato Soup	9117	4.83456802368164	45	2004
6788	5740ee4ff0f8937c63756011	168	40	1000	20	Amish White Bread	3892	4.79371356964111	150	2004
6820	5740ee5ef0f8937c6375601e	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2004
9827	5740ee70f0f8937c63756029	125	10	565	15	Chocolate Chocolate Chip Cookies I	2512	4.72730112075806	45	2004
10497	5740ee86f0f8937c63756037	144	12	331	15	Beth's Spicy Oatmeal Raisin Cookies	3597	4.74303913116455	50	2005
10757	5740ee96f0f8937c63756043	105	12	170	15	Mom's Ginger Snaps	658	4.65802478790283	40	2005
12504	5740eeabf0f8937c63756052	463	60	880	30	Brown Family's Favorite Pumpkin Pie	830	4.68194580078125	90	2005
13651	5740eebcf0f8937c63756061	235	25	3000	15	Awesome Sausage, Apple and Cranberry Stuffing	2087	4.76345205307007	100	2005
14276	5740eecaf0f8937c6375606d	491		2000	10	Strawberry Spinach Salad I	1783	4.77161931991577	70	2005
14469	5740eed9f0f8937c6375607a	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2005
14861	5740eee9f0f8937c63756084	155		1000	10	Spicy Bean Salsa	1093	4.73523283004761	490	2005
14930	5740eefbf0f8937c6375608c	194	25	888	10	Florentine Artichoke Dip	851	4.72949409484863	35	2005
15553	5740ef0af0f8937c6375609c	852		290		Chicken Tortilla Soup III	275	4.63313627243042		2005
16431	5740ef19f0f8937c637560aa	27	15	694	5	Red Enchilada Sauce	650	4.50715970993042	20	2005
17165	5740ef28f0f8937c637560b7	143	10	5000	15	Big Soft Ginger Cookies	4096	4.73919439315796	50	2005
18057	5740ef37f0f8937c637560c2	309	25	1000	20	Sweet Potato Casserole II	947	4.80278253555298	45	2005
19673	5740ef49f0f8937c637560ce	66		2000	30	Seven Layer Taco Dip	1733	4.73436880111694	30	2005
20156	5740ef57f0f8937c637560de	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2005
20163	5740ef67f0f8937c637560e9	440	15	2000	15	Grandma Johnson's Scones	1853	4.80025339126587	30	2005
24952	5740ef76f0f8937c637560f1	253	60	2000	30	Caramel Popcorn	1705	4.85201168060303	90	2005
34613	5740ef88f0f8937c63756100	426	10	2000	20	Roquefort Pear Salad	1296	4.85452508926392	30	2005
50644	5740ef9bf0f8937c6375610a	224	10	8000	5	Broiled Tilapia Parmesan	6868	4.70721817016602	15	2005
6862	5740efacf0f8937c63756116	247	60	410	15	Pumpkin Bread IV	1476	4.78794527053833	75	2005
8669	5740efbcf0f8937c63756121	584	45	1000	15	Chicken Cordon Bleu II	4189	4.77739000320435	60	2005
10687	5740efd4f0f8937c6375612d	92	10	1000	20	Mrs. Sigg's Snickerdoodles	4038	4.73642683029175	60	2006
13333	5740efe4f0f8937c63756141	227	50	2000	35	Jamie's Minestrone	1551	4.72240018844604	85	2006
14469	5740eff7f0f8937c6375614e	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2006
17165	5740f00df0f8937c6375615b	143	10	5000	15	Big Soft Ginger Cookies	4096	4.73919439315796	50	2006
17652	5740f01df0f8937c63756168	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2006
18057	5740f02df0f8937c63756173	309	25	1000	20	Sweet Potato Casserole II	947	4.80278253555298	45	2006
20156	5740f03ef0f8937c63756183	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2006
20163	5740f04cf0f8937c6375618e	440	15	2000	15	Grandma Johnson's Scones	1853	4.80025339126587	30	2006
23439	5740f05df0f8937c63756197	379	55	3000	15	Perfect Pumpkin Pie	1681	4.68919467926025	70	2006
24332	5740f06cf0f8937c637561a1	422	75	3000	15	Ultimate Twice Baked Potatoes	2097	4.71738386154175	90	2006
24952	5740f07bf0f8937c637561a9	253	60	2000	30	Caramel Popcorn	1705	4.85201168060303	90	2006
26317	5740f08bf0f8937c637561b7	415	50	10000	20	Chicken Pot Pie IX	7253	4.81115436553955	70	2006
26692	5740f09bf0f8937c637561c2	312	10	3000	15	Annie's Fruit Salsa and Cinnamon Chips	3206	4.77678155899048	45	2006
50644	5740f0aff0f8937c637561cc	224	10	8000	5	Broiled Tilapia Parmesan	6868	4.70721817016602	15	2006
